exper time,cells A,cells B,FALS,time of day
0,63460000,65033483.61,0.1838,8
2,68213900,65127500,0.2147,10
4,68715399.16,65232500,0.264,12
6,61295103.31,62985537.19,0.3314,14
8,65479303.28,65975700,0.395,16
10,64687500,65592500,0.4416,18
12,70170000,70097500,0.4033,20
14,79075000,83275000,0.3108,22
16,89295000,93827500,0.2448,0
18,104912500,104520000,0.202,2
20,113646071.4,113942500,0.1774,4
22,115486776.9,117187724.3,0.1649,6
24,123952500,125812500,0.1736,8
26,126111046.5,125585000,0.2042,10
28,128221562.5,124366197.5,0.2489,12
30,133225000,126895000,0.3215,14
32,130872500,127855000,0.3853,16
34,128832500,131252500,0.4247,18
36,130172500,132215000,0.3566,20
38,135269085.4,151783657,0.3033,22
40,166965144.6,148967500,0.235,0
42,186597500,186105000,0.1977,2
44,196077500,204487985.1,0.1753,4
46,218585000,217935000,0.1632,6
48,223092500,232067500,0.1697,8